OrderID,Date,Store,City,Quantity,PaymentMethod,CustomerType
101,2024-05-02,CityGrocer,Delhi,7,Credit Card,Member
102,2024-09-04,GreenBasket,Chennai,4,Debit Card,Member
103,2024-08-25,DailyNeeds,Kolkata,6,Debit Card,Normal
104,2024-02-03,GreenBasket,Mumbai,10,Credit Card,Normal
105,2024-05-31,GreenBasket,Mumbai,1,Cash,Normal
106,2024-06-11,DailyNeeds,Hyderabad,1,UPI,Normal
107,2024-08-19,FreshMart,Chennai,9,UPI,Member
108,2024-09-16,DailyNeeds,Delhi,7,Cash,Member
109,2024-10-05,FreshMart,Pune,8,UPI,Member
110,2024-11-15,FreshMart,Chennai,9,Debit Card,Normal
111,2024-05-14,CityGrocer,Bangalore,6,Debit Card,Normal
112,2024-12-19,GreenBasket,Kolkata,10,Cash,Member
113,2024-04-27,FreshMart,Hyderabad,9,UPI,Member
114,2024-04-30,UrbanFresh,Mumbai,1,Debit Card,Member
115,2024-05-13,FreshMart,Chennai,1,Cash,Normal
116,2024-10-11,GreenBasket,Chennai,9,UPI,Member
117,2024-09-03,DailyNeeds,Mumbai,10,Debit Card,Normal
118,2024-12-01,FreshMart,Mumbai,2,Cash,Normal
119,2024-08-18,GreenBasket,Delhi,4,UPI,Member
120,2024-04-20,CityGrocer,Bangalore,10,Cash,Normal
121,2024-09-26,GreenBasket,Hyderabad,8,Cash,Normal
122,2024-11-05,CityGrocer,Pune,9,Cash,Member
123,2024-11-19,FreshMart,Pune,9,UPI,Member
124,2024-01-08,FreshMart,Pune,9,UPI,Member
125,2024-03-24,UrbanFresh,Mumbai,4,Credit Card,Normal
126,2024-01-12,CityGrocer,Hyderabad,4,Debit Card,Normal
127,2024-04-06,FreshMart,Bangalore,1,UPI,Member
128,2024-12-21,GreenBasket,Delhi,7,Credit Card,Normal
129,2024-09-05,GreenBasket,Delhi,8,Cash,Member
130,2024-07-01,DailyNeeds,Kolkata,6,Debit Card,Normal
131,2024-10-08,GreenBasket,Mumbai,3,Credit Card,Normal
132,2024-07-23,GreenBasket,Chennai,6,UPI,Normal
133,2024-05-05,FreshMart,Bangalore,6,Cash,Normal
134,2024-04-01,GreenBasket,Delhi,4,Credit Card,Member
135,2024-02-08,FreshMart,Mumbai,6,UPI,Normal
136,2024-04-12,DailyNeeds,Delhi,10,Credit Card,Member
137,2024-06-17,CityGrocer,Mumbai,2,Credit Card,Normal
138,2024-07-07,GreenBasket,Kolkata,9,Cash,Normal
139,2024-03-19,DailyNeeds,Chennai,10,UPI,Member
140,2024-11-20,UrbanFresh,Bangalore,7,Credit Card,Member
141,2024-09-14,DailyNeeds,Pune,10,UPI,Normal
142,2024-01-06,CityGrocer,Pune,2,UPI,Member
143,2024-11-23,GreenBasket,Chennai,2,Credit Card,Normal
144,2024-03-31,GreenBasket,Kolkata,9,Debit Card,Member
